;Bankrupt?; Operating Expense Rate; Research and development expense rate; Interest-bearing debt interest rate; Tax rate (A); Revenue Per Share (Yuan ¥); Total Asset Growth Rate; Net Value Growth Rate; Current Ratio; Quick Ratio; Total debt/Total net worth; Total Asset Turnover; Accounts Receivable Turnover; Average Collection Days; Inventory Turnover Rate (times); Fixed Assets Turnover Frequency; Revenue per person; Allocation rate per person; Quick Assets/Total Assets; Current Assets/Total Assets; Cash/Total Assets; Quick Assets/Current Liability; Cash/Current Liability; Inventory/Current Liability; Current Liabilities/Liability; Long-term Liability to Current Assets; Current Asset Turnover Rate; Quick Asset Turnover Rate; Cash Turnover Rate; Fixed Assets to Assets; Total assets to GNP price
0;1;0.0001256968688759;0.0;0.0007250725072507;0.0;0.0175597803893099;4980000000.0;0.000326977269203;0.0022589633105668;0.0012077550852353;0.0212659243655332;0.0869565217391304;0.0018138841264849;0.0034873642818412;0.0001820925974295;0.0001165006532358;0.0341641819543792;0.0371353015800987;0.166672958825266;0.190642959052727;0.004094405952288;0.001996770860645;0.0001473360247605;0.001035989991658;0.676269176153092;0.02559236799775;701000000.0;6550000000.0;458000000.0;0.424205762216667;0.0092194400211029
1;1;0.0002897850537287;0.0;0.0006470647064706;0.0;0.0211443350424248;6110000000.0;0.0004430401005442;0.0060162058776727;0.0040393668269104;0.0125023937843679;0.0644677661169415;0.0012863563044647;0.004916807917444;9360000000.0;719000000.0;0.0068886506176284;0.0123349721287826;0.127236002293688;0.182419054120616;0.0149477269714099;0.004136029760799;0.0013839100814699;0.0052096823995494;0.30858859304371;0.0239468186673397;0.0001065197627902;7700000000.0;2490000000.0;0.468828128338473;0.0083233017948103
2;1;0.0002361297205563;25500000.0;0.0007900790079007;0.0;0.0059440083488361;7280000000.0;0.0003964253147034;0.0115425536893801;0.0053475602224365;0.0212476860084444;0.0149925037481259;0.0014953384801111;0.004226849460116;65000000.0;2650000000.0;0.0289969595934374;0.141016311871331;0.340200878481779;0.602805701668708;0.0009909444511248;0.006302481382547;5340000000.0;0.0138787857963224;0.446027487157575;0.0037151156933692;0.0017910937001909;0.001022676471902;761000000.0;0.276179222234543;0.0400028528527523
3;1;0.0001078888488144;0.0;0.0004490449044904;0.0;0.0143684680188151;4880000000.0;0.0003824259063219;0.004194058676884;0.0028964911470803;0.0095724017180532;0.0899550224887556;0.0019660556136061;0.0032149673166337;7130000000.0;9150000000.0;0.015463478401363;0.0213199897441037;0.161574531573533;0.225814868882578;0.0188506248270314;0.0029612376501386;0.0010106464315761;0.0035401478961941;0.615848368585853;0.0221651997451294;8140000000.0;6050000000.0;2030000000.0;0.559143963323496;0.0032524752911273
4;1;7890000000.0;0.0;0.0006860686068606;0.0;0.0296897923378254;5510000000.0;0.0004389475818729;0.0060224461078124;0.0037274466086162;0.0051496001240208;0.175412293853073;0.001448672557394;0.004366890533138;0.000163367440506;0.0002935211263343;0.0581114228221436;0.0239882116504549;0.260329881066954;0.358380159768393;0.0141609737513009;0.0042747708703925;0.000680463559654;0.0048685702885864;0.975006616109995;0.0;6680000000.0;5050000000.0;824000000.0;0.309554916594047;0.0038775630938002
5;1;0.0001571499952184;0.0;0.0007160716071607;0.0;0.0181042697037071;608000000.0;0.0003517819250519;0.0027400850543368;0.0008546613981262;0.0142131516792967;0.095952023988006;0.001527801730697;0.0041371890170226;650000000.0;9300000000.0;0.0213004714833365;0.0328287701112501;0.080263714948153;0.214535988082286;0.0026452256427289;0.0009884249762449;0.0001008563413234;0.0048791312032084;0.733351868524405;0.0037725048904946;8010000000.0;2810000000.0;295000000.0;0.603193479638275;0.0052778749010734
6;0;0.0003984833580005;730000000.0;0.0008050805080508;0.0;0.0309148932952191;5720000000.0;0.0003517569706697;0.004672060305584;0.0028690421678704;0.0244412223346921;0.100449775112444;0.0016617126393637;0.0038050184230862;0.0001620299292972;0.0001452475676706;0.0114595420295815;0.0097031414638638;0.255093170002626;0.295221006636909;0.0229885979786101;0.0039738300376393;0.0010503117869961;0.0021593494146816;0.508088825932489;0.0093474263545427;0.0001058010525107;9560000000.0;2390000000.0;0.355853781517835;0.0183718717412392
7;0;9000000000.0;50900000.0;0.0006300630063006;0.157607045247495;0.0425609147420482;6630000000.0;0.0004510504572116;0.0096573801641804;0.0073045476720146;0.0052781805414968;0.218890554722639;0.0013350511803435;0.0047400487582028;0.0001990980970845;0.0005182009575748;0.0280774936474597;0.0070580410645001;0.361219101269389;0.447942034514932;0.0146159133960059;0.0075649622451681;0.0008881219853254;0.005755846417555;0.755769661403609;0.0053456555444072;7290000000.0;6180000000.0;734000000.0;0.218473358265378;0.0100045037641927
8;0;0.000168713644609;0.0;0.0007370737073707;0.0058710395789047;0.0266043528895745;6890000000.0;0.0004527224008151;0.0134988658381721;0.0118230239542251;0.0022661158682825;0.154422788605697;0.0013025879297576;0.0048553264707514;0.000304188263492;0.0002458617681924;0.0163829443473407;0.0088146221616528;0.378625211512749;0.414645601298328;0.145189217702725;0.0119376048920973;0.0131902147956569;0.0043847546844966;0.906707130576253;0.0;0.0001026722104262;9840000000.0;0.0001052297029592;0.323861362852714;0.0008240712069684
9;0;5820000000.0;0.0;0.0006720672067206;0.392448628403685;0.0786635812272184;5550000000.0;0.0004449116792048;0.0114745351808575;0.0075166534204547;0.0063542436097356;0.347826086956522;0.0014689620890101;0.0043028473594999;0.0002059767261585;0.0007383418023256;0.0332799670989821;0.0057206126777132;0.394951275737478;0.57718930416151;0.0087727909152724;0.0076046826310278;0.0004908833959261;0.0103429552829112;0.734899300937657;0.0049506820858788;5110000000.0;3600000000.0;258000000.0;0.254953362305477;0.005797642207721
